,query,id,precision
958,штраф за вред дорогам,729,1.0
963,штраф за отказ от заключения договора,56,1.0
966,штраф за неисполнение решения,2,1.0
971,штраф за нарушение порядка хранения и сроков документов,90,1.0
989,"штрафы при строительстве, реконструкции",444,1.0
993,штраф за передачу транспортного средства пьяному,660,0.75
1007,штраф на головной,1101,1.0
1009,штраф родителям,61,1.0
1043,штраф изолятор,1556,1.0
1046,штраф за нарушение РАБОТЫ НА КАССЕ,1115,1.0
1047,"штрафы за нарушение законодательства Российской Федерации о контрактной системе в сфере закупок товаров, работ, услуг для обеспечения государственных и муниципальных нужд""",248,1.0
1051,штрафы в государственные фонды,1129,1.5
1053,штрафные с акции,1247,1.0
1059,штраф депозитария,1248,1.0
1064,штраф площадка,290,1.0
1067,штраф от заключения договора по 223-фз,1274,0.8
1077,штраф за размещение информации,825,1.0
1080,штраф за уклонение от заключения государственного контракта,254,1.0
1081,штраф за причинение вреда автомобильным дорогам,729,0.75
1085,штрафы за нарушение порядка кассовых операций,1115,1.0
1091,штраф за езду,733,1.0
1096,штраф по правам потребителей,922,1.0
1097,штраф основание,326,1.0
1100,штраф если без права управления транспортного средства,656,1.0
1119,штраф за остановки под знак,713,1.0
1120,штраф за хищение,244,1.0
1122,штраф за финансового отчета,112,1.0
1123,Штраф за злоупотребление доминирующим положением,1000,1.0
1138,штраф за подделку документов,1585,1.0
1148,штраф легализация,1231,1.0
1156,штраф за ограничение конкуренции,926,1.0
1178,штраф аудит,119,1.0
1182,штраф территориальный фонд,1267,1.0
1186,штраф опасный производственный,431,1.0
1199,штрафы в области безопасности дорожного движения,772,0.75
1207,штраф за нарушение законодательства о государственной регистрации,979,0.75
1258,штрафные санкции за нарушение правил регистрации по месту жительства,1563,0.8333333333333334
1267,штраф за ведение бюджетной сметы,1157,1.0
1270,штраф стоянка транспортного средства инвалид,75,0.75
1292,штрафы за нарушение сроков возврата денежных средств по аукциону,290,0.8333333333333334
1296,штрафы по фсс рф,1266,1.0
1297,штрафы за нарушение охраны недр,345,1.0
1298,штраф нарушение правил привлечения иностранных работников,1427,0.8
1300,штраф временная регистрация по месту проживания,1569,0.75
1303,штраф по сделке,328,1.0
1304,штраф за нарушение ПДД пешеходом,754,1.0
1305,штраф обучающемуся,92,1.0
1308,штрафные санкции за неисполнение решения суда,1229,0.75
1318,штраф за неисполнение суда,1229,1.0
1319,штрафы по договорам реализации,1433,1.0
1329,штраф за отсутствие регистрации граждан по месту пребывания,1561,0.8
1333,штраф за пользование недрами без лицензии,199,1.0
1352,штраф недобросовестный,1026,1.0
1359,штраф за имущество,227,1.0
1363,штрафы по условиям договора,1096,1.0
1368,штраф стоянка тс инвалид,75,0.75
1370,штрафной характер,1377,1.0
1383,штраф за нарушение правил пожарной безопасности в лесах,398,1.0
1384,штраф за нарушение рекламных конструкций,1042,1.3333333333333333
1386,штраф страховые взносы счет,1127,1.0
1392,штраф за дороги,771,1.0
1416,штраф за невыполнение обязательств по коллективному договору,57,1.0
1430,штраф за несвоевременное представление расчета по страховым взносам,1121,0.8
1438,штраф за осуществление предпринимательской деятельности без государственной регистрации или без специального разрешения (лицензии),866,0.75
1445,штраф за стоянку на остановке,75,1.0
1466,штрафные санкции за нарушение порядка работы с денежной наличностью,1115,0.8333333333333334
1478,штрафы за нарушения в области охраны труда,49,0.75
1481,штраф самоуправство,1441,1.0
1487,Штрафы за нарушение перечисления страховых взносов,1126,1.0
1502,штраф за нарушение требований жилищного законодательства,307,1.0
1507,штраф за переоформление,327,1.0
1513,штрафы по субсидиям,1154,1.0
1517,штрафы в 2016 за нарушения в работе с кассой,1115,0.75
1519,штрафы за нарушения правил на маломерном судне,567,0.75
1546,штраф сотрудников в организации,1616,1.0
1564,штраф за нарушение норм охраны труда,49,0.75
1565,штрафные санкции исполнителю при заключении контракте,254,0.75
1571,штрафы по просроченную задолженность,1104,1.0
1589,штраф за машину,440,1.0
1593,штраф за эксплуатацию объекта без разрешения на ввод,458,1.0
1599,штраф за уклонение от заключения контракта контракта,254,0.75
1601,штрафы за интернет,850,1.0
1609,штрафы за рубку,384,1.0
1616,штраф за мелкое хищение,244,1.0
1621,штраф грузовому автомобилю,583,1.0
1640,штраф за нарушение осаго,779,0.8
1648,штраф за самовольное занятие земельного участка,194,1.25
1656,штрафы за не соблюдение требований промышленной безопасности опасных производственных объектов,431,0.8571428571428571
1660,штраф за нарушение требований пожарной безопасности,1636,1.0
1663,штраф за нарушение срока работ,306,1.0
1674,штраф за мелкое хулиганство,1618,1.0
1680,штрафы за нарушение правил управления маломерным судном,559,0.8
1682,штрафы и пени страхование,1126,1.0
1688,штраф за нарушение карантинных правил,505,1.0
1694,штраф за необоснованный отказ,56,1.0
1708,штраф за нарушение правил защиты информации,800,0.75
1714,штраф приставов,1359,1.0
1721,штраф за нарушение санитарно-эпидемиологических,128,1.0
1724,штрафные санкции за нарушение норм трудового законодательства,42,0.8
1725,штраф на члена комиссии,7,1.0
1742,штрафы за нарушение законодательства о промышленной безопасности,1290,0.75
1746,штраф за непредоставление информации в антимонопольный орган,1543,1.0
1757,штраф за нарушение порядка работы с денежной наличностью. ведения кассовых операций,1115,1.0
1759,штраф за нецелевое использование,1139,1.0
1760,штраф за негативное воздействие на окружающую природную среду,419,0.8
1763,штраф за Порча земель,337,1.0
1766,штрафы в иностранных договорах,1433,1.0
1767,штрафы для юридических лиц закупки,308,1.0
1789,штраф долевое участие,992,1.0
1795,штраф за тяжеловесные и крупногабаритные,570,1.0
1801,штраф за нарушение правил безопасности на воде,565,0.75
1817,штраф за персональные данные,798,1.0
1834,"штраф за ознакомление со списком избирателей, участников референдум",0,1.0
1852,штраф перевозка тяжеловесных грузов,570,1.0
1854,штраф за смету,1157,1.0
1859,штраф за недостоверную информацию в реестр,404,1.0
1868,штраф за подкуп,20,1.0
1877,штраф за нарушение охоты,409,1.0
1893,штраф за уплату платы за негативное воздействие на окружающую среду,419,0.8333333333333334
1897,штрафы за нарушение закона о политических партиях,120,0.75
1909,штраф янтарь,202,1.0
1911,штраф за хранение,1609,1.0
1915,штраф за лотереи,988,1.0
1917,штраф подделка знаков почтовой оплаты,796,0.75
1926,штраф за нарушение требований тех регламентов,1067,0.75
1929,штраф бухгалтерская отчетность,1130,1.0
1954,штрафы за непрохождение государственного технического осмотра,634,0.75
1981,штраф за неисправные,647,1.0
1990,штраф за хранение оружия,480,1.0
1991,штраф за проведение специальной оценки условий труда,1094,1.0
1993,штраф за нарушение правил пешеходов,754,1.0
1998,штрафы с электронной площадки,290,1.0
2001,штрафы за нарушения при перевозках,734,1.0
2003,"штрафные санкции за нарушение законодательства в сфере закупок товаров, работ, услуг для обеспечения муниципальных нужд",248,0.9090909090909091
2005,штраф за порчу документов,1570,1.0
2013,штраф подрядчику за изменение условий контракта,296,0.75
2020,штраф за нарушение условий лицензии,200,1.0
2042,штраф за нарушение хранения персональных данных,798,1.0
2043,штраф за нарушение предоставления информации кредитной организацией,1120,0.8
2050,ШТРАФ ЗА НАРУШЕНИЕ ПРАВИЛ ПЕРЕВОЗКИ ОПАСНЫХ ГРУЗОВ,728,1.0
2055,штраф регистрация граждан по месту пребывания,1563,1.0
2066,штрафы банков за нарушения,1218,1.0
2069,штрафы за нарушение персональных данных,798,1.0
2072,штраф за нарушения закона о курении,171,1.0
2078,штраф о нарушение срока предоставления информации об открытии счета,1120,0.8333333333333334
2100,штраф за управление транспортным средством без отличительного знака,618,1.0
2105,штраф установленный договором,54,1.0
2111,штрафные санкции за непредоставление первичных статистических данных,823,0.8
2122,штраф за неисполнение судебного,1359,1.0
2129,Штрафы за нарушение норм законодательства,42,1.0
2141,штрафы за нарушение требований бухгалтерского учета,1130,1.0
2155,штрафы за недостоверное декларирование товара,1301,1.0
2172,штраф за причинение вреда средней тяжести,741,1.0
2176,штрафы по услугам,234,1.0
2182,штраф за нарушение в сфере обращения с отходами,987,0.75
2190,штрафы в области промышленной безопасности,431,1.0
2191,штраф организации за нарушение сотрудником,1616,1.0
2201,Штрафные санкции за нарушение Валютного Законодательства РФ и актов,1197,0.7142857142857143
2208,штраф нарушение коммунальные услуги,234,1.0
2214,штраф коммунальные услуги,234,1.0
2230,штрафы за несвоевременную сдачу деклараций и расчетов по налогам и страховым взносам,1121,0.7142857142857143
2232,штраф за нарушение ПЕШЕХОДА,754,1.0
2242,штрафы и пени по налогам и сборам,1126,1.3333333333333333
2253,штраф за нарушение закона о защите прав,1106,0.75
2255,штраф страховая налог,1126,1.5
2263,штраф за грубое нарушение отчетности,1130,1.0
2288,штраф безопасность на опасном производственном,431,1.0
2290,штрафы за нарушение муниципального задания,1165,1.0
2297,штраф за хулиганство,1618,1.0
2302,штрафы за неисполнение государственного оборонного заказа,1101,1.0
2305,штрафы исполнителя заказчика,1100,1.0
